CVE_ENT,POB_TOT,HOMBRES,MUJERES
01,1184996,576638,608358
02,3155070,1591610,1563460
03,637026,325433,311593
04,822441,407721,414720
05,2748391,1364197,1384194
06,650555,322790,327765
07,4796580,2352807,2443773
08,3406465,1692545,1713920
09,8851080,4233783,4617297
10,1632934,803890,829044
11,5486372,2639425,2846947
12,3388768,1645561,1743207
13,2665018,1285222,1379796
14,7350682,3600641,3750041
15,15175862,7396986,7778876
16,4351037,2102109,2248928
17,1777227,858588,918639
18,1084979,541007,543972
19,4653458,2320185,2333273
20,3801962,1819008,1982954
21,5779829,2769855,3009974
22,1827937,887188,940749
23,1325578,673220,652358
24,2585518,1260366,1325152
25,2767761,1376201,1391560
26,2662480,1339612,1322868
27,2238603,1100758,1137845
28,3268554,1616201,1652353
29,1169936,565775,604161
30,7643194,3695679,3947515
31,1955577,963333,992244
32,1490668,726897,763771
